Study ID,Study,Citation,Year,QA pass,QA score,in_final_107_corpus,audit_note
P063,P063 - Beutel2019PairwiseRecFair,Beutel2019PairwiseRecFair,2019,Pass,8.5,Yes,Included in final 107-study analytical corpus.
P062,P062 - Qin2026Prune,qin2026prune,2026,Pass,8.5,Yes,Included in final 107-study analytical corpus.
P064,P064 - Merchant2023GNNTradeoffs,Merchant2023GNNTradeoffs,2023,Pass,8.5,Yes,Included in final 107-study analytical corpus.
P061,P061 - Ghai2023DBIAS,Ghai2023DBIAS,2023,Pass,10,Yes,Included in final 107-study analytical corpus.
P067,P067 - CorbettDavies2023MeasureMismeasure,CorbettDavies2023MeasureMismeasure,2023,Pass,9.5,Yes,Included in final 107-study analytical corpus.
P076,P076 - Holstein2019,Holstein2019,2019,Pass,8.5,Yes,Included in final 107-study analytical corpus.
P075,P075 - Abbas2025 (SME lending; mixed-methods),Abbas2025LendingByAlgorithm,2025,Pass,8,Yes,Included in final 107-study analytical corpus.
P069,P069 - Luo2024FairCLIP,Luo2024FairCLIP,2024,Pass,9,Yes,Included in final 107-study analytical corpus.
P077,P077 - Madaio2020,Madaio2020,2020,Pass,8.5,Yes,Included in final 107-study analytical corpus.
P070,P070 - Rateike2024LongTermPolicies,Rateike2024LongTermPolicies,2024,Pass,8.5,Yes,Included in final 107-study analytical corpus.
P072,P072 - Han2024SFairGNN,Han2024SFairGNN,2024,Pass,8.5,Yes,Included in final 107-study analytical corpus.
P074,P074 - Pham2025 (FAIREDU),Pham2025FAIREDU,2025,Pass,8,Yes,Included in final 107-study analytical corpus.
P071,P071 - Blandin2024FairIRL,Blandin2024FairIRL,2024,Pass,10,Yes,Included in final 107-study analytical corpus.
P078,P078 - Zhang2020,Zhang2020,2020,Pass,8,Yes,Included in final 107-study analytical corpus.
